year_month,stock_code,ret_next_month,dominant_factor
2020-11,300122,0.18412704443135852,RET_6M
2020-11,601012,0.3420605084138917,VOL_SPIKE_6M
2020-11,300124,0.2116895124010132,RET_6M
2020-12,600346,0.3800270964061607,UPSHADOW_20
2020-12,601919,0.0164964650432049,VOL_SPIKE_6M
2020-12,601127,0.07774647887323938,BIAS_20
2020-12,000625,-0.21204480150120208,BIAS_20
2020-12,601633,0.10868949900934055,VOL_SPIKE_6M
2020-12,603799,0.24865233708631873,UPSHADOW_20
2020-12,002709,-0.08122854052020134,RET_6M
2020-12,600918,-0.2156756756756757,BIAS_20
2020-12,002601,0.29182892906814994,RET_6M
2020-12,603260,0.32444719983467674,VOL_SPIKE_6M
2021-01,300274,-0.17480774106312857,VOL_SPIKE_6M
2021-01,002466,-0.2507177443544586,VOL_SPIKE_6M
2021-01,000568,-0.08727249492986999,RET_6M
2021-01,600893,0.009913316119513071,RET_6M
2021-01,601919,0.018547140649149974,VOL_SPIKE_6M
2021-01,601633,-0.2516594332397243,VOL_SPIKE_6M
2021-01,600438,0.021300292356953854,RET_6M
2021-01,600760,0.05517132147193937,RET_6M
2021-01,002460,-0.17345097252857433,BIAS_20
2021-01,002709,-0.12759803419678517,VOL_SPIKE_6M
2021-02,300274,-0.16998651577995127,BIAS_20
2021-02,601058,-0.024840764331210186,VOL_SPIKE_6M
2021-02,000301,-0.0056162246489858125,VOL_SPIKE_6M
2021-02,300015,-0.18027228801425133,VOL_SPIKE_6M
2021-02,601633,-0.030106609808102314,RET_6M
2021-02,603799,-0.2305875227135069,RET_6M
2021-02,600346,-0.18841059602649002,RET_6M
2021-02,002594,-0.16606193150753012,RET_6M
2021-02,002415,0.006121855708887125,RET_6M
2021-02,600031,-0.1693014770728658,VOL_SPIKE_6M
2021-03,600010,-0.05729564553093969,VOL_SPIKE_6M
2021-03,000807,0.277194583903849,UPSHADOW_20
2021-03,601127,1.0840231788079469,BIAS_20
2021-03,600111,0.06434259234600104,VOL_SPIKE_6M
2021-03,000301,0.06306871666143721,RET_6M
2021-03,002714,0.13076442504222818,VOL_SPIKE_6M
2021-03,600438,0.07606113951993732,RET_6M
2021-03,601919,0.3517730496453899,RET_6M
2021-03,601618,-0.09798994974874375,VOL_SPIKE_6M
2021-03,600031,-0.09575461968720811,RET_6M
2021-04,600025,-0.06615384615384612,VOL_SPIKE_6M
2021-04,601919,0.16946484784889826,RET_6M
2021-04,688169,-0.053903293227136606,BIAS_20
2021-04,601127,0.23833167825223445,RET_6M
2021-04,601009,0.14497161394971614,VOL_SPIKE_6M
2021-04,000963,0.0034168392724855945,VOL_SPIKE_6M
2021-04,603799,0.26550195222023665,RET_6M
2021-04,600919,0.0813008130081303,VOL_SPIKE_6M
2021-04,600039,0.07434594391116112,VOL_SPIKE_6M
2021-04,600809,0.1282641638558928,RET_6M
2021-05,601919,0.4288918797667116,RET_6M
2021-05,002709,0.1403750900921623,BIAS_20
2021-05,601127,0.11098636728147548,BIAS_20
2021-05,300274,0.18740684410646402,BIAS_20
2021-05,300782,0.26208959527156095,RET_6M
2021-05,600039,-0.13279607568325158,VOL_SPIKE_6M
2021-05,002460,-0.06204441567897745,RET_6M
2021-05,603260,0.20148291424887166,BIAS_20
2021-05,300122,-0.04339581358033684,BIAS_20
2021-05,601377,-0.1292134831460674,UPSHADOW_20
2021-06,000408,0.2553384139440127,VOL_SPIKE_6M
2021-06,601377,-0.0795698924731183,VOL_SPIKE_6M
2021-06,002460,0.6104143665470605,BIAS_20
