year_month,stock_code,ret_next_month,dominant_factor
2025-06,601077,-0.05064548162859983,RET_6M
2025-06,301269,-0.1117093948404726,BIAS_20
2025-07,302132,0.2042245234172746,UPSHADOW_20
2025-07,600547,0.13584123403347248,RET_6M
2025-07,601009,-0.03126181772343384,VOL_SPIKE_6M
2025-07,601336,0.05353369335524749,RET_6M
2025-07,603986,0.31246894455324004,UPSHADOW_20
2025-07,600039,0.042147516307074806,RET_6M
2025-07,601077,-0.07217573221757334,VOL_SPIKE_6M
2025-07,300442,0.1843317972350229,BIAS_20
2025-07,600926,-0.011189491607881297,VOL_SPIKE_6M
2025-07,301269,0.11770560028951427,UPSHADOW_20
2025-08,002736,-0.08751941998964252,VOL_SPIKE_6M
2025-08,601336,-0.10374414976599056,RET_6M
2025-08,002384,0.08300560956620684,UPSHADOW_20
2025-08,688506,0.12197309417040358,RET_6M
2025-08,600515,0.06379707916986943,VOL_SPIKE_6M
2025-08,000661,0.26139821145547715,UPSHADOW_20
2025-08,601066,-0.054271034039820254,VOL_SPIKE_6M
2025-08,002422,0.007384006394397291,BIAS_20
2025-08,601601,-0.12877973906369922,UPSHADOW_20
2025-08,000708,0.04286208088489474,VOL_SPIKE_6M
2025-09,002938,-0.06281991624011163,RET_6M
2025-09,600183,0.19029228119280872,BIAS_20
2025-09,002916,-0.009961835796066132,BIAS_20
2025-09,300033,-0.022890337303988484,BIAS_20
2025-09,600346,0.047280608901658416,UPSHADOW_20
2025-09,002736,0.03745743473325769,VOL_SPIKE_6M
2025-09,002384,-0.041953143720853014,BIAS_20
2025-09,302132,-0.05989612111835574,RET_6M
2025-09,603893,-0.1955333706269633,BIAS_20
2025-09,600415,-0.006472650599455676,RET_6M
2025-10,300274,-0.03635710301626116,UPSHADOW_20
2025-10,688981,-0.08519890481559034,UPSHADOW_20
2025-10,002460,-0.09375032022051666,RET_6M
2025-10,002709,0.03461146342727783,RET_6M
2025-10,688472,0.109079445145019,UPSHADOW_20
2025-10,300803,-0.15046439628482966,RET_6M
2025-10,603019,-0.0684723277827679,RET_6M
2025-10,300502,0.010136055083344475,RET_6M
2025-10,600176,-0.09087205840879897,VOL_SPIKE_6M
2025-10,688047,-0.041180308852316494,VOL_SPIKE_6M
2025-11,688472,-0.13303013075611148,BIAS_20
2025-11,300274,-0.06484413697913483,BIAS_20
2025-11,002709,0.1231586331295722,VOL_SPIKE_6M
2025-11,002460,0.005438715513342407,VOL_SPIKE_6M
2025-11,600515,0.07650273224043724,BIAS_20
2025-11,300308,0.18561638788593315,BIAS_20
2025-11,002028,0.07728203727725802,BIAS_20
2025-11,600089,0.01927291072188675,VOL_SPIKE_6M
2025-11,600183,0.23804602626471394,RET_6M
2025-11,000792,0.0646564082958998,BIAS_20
2017-10,600438,0.1422089206410504,VOL_SPIKE_6M
2017-10,601688,-0.013913824057450674,UPSHADOW_20
2017-10,600515,-0.023103340618170543,VOL_SPIKE_6M
2017-10,601881,-0.08339651250947688,VOL_SPIKE_6M
2017-10,300014,-0.13084022303403187,RET_6M
2017-10,002179,-0.028553270688637666,BIAS_20
2017-11,002422,0.18514580801944103,VOL_SPIKE_6M
2017-11,300274,0.1417862693116374,RET_6M
2017-11,600809,0.18457110948842392,RET_6M
2017-11,000338,0.02461220268872788,BIAS_20
2017-11,600009,0.07782943251041985,UPSHADOW_20
2017-11,300308,0.3700524897148534,UPSHADOW_20
2017-11,300015,0.132355829024023,UPSHADOW_20
2017-12,300316,-0.14586631789082405,VOL_SPIKE_6M
2017-12,600522,-0.13923499172257547,UPSHADOW_20
2017-12,603993,0.09892086330935257,RET_6M
2017-12,002625,-0.14396638348405966,VOL_SPIKE_6M
2017-12,000938,-0.15921327326667412,VOL_SPIKE_6M
2017-12,603019,-0.05447134387351771,VOL_SPIKE_6M
2017-12,600760,-0.14850733189227083,UPSHADOW_20
2017-12,300122,-0.009638554216867545,RET_6M
2018-01,600176,-0.035050478902407534,UPSHADOW_20
2018-01,300308,0.17201729839735447,VOL_SPIKE_6M
2018-01,300316,-0.0005641521598968025,VOL_SPIKE_6M
2018-01,300274,-0.023073496659242743,RET_6M
2018-01,600029,0.0035714285714285587,VOL_SPIKE_6M
2018-01,600809,-0.16233376504406605,RET_6M
2018-01,002714,-0.18324035896192092,RET_6M
2018-01,600362,-0.11142061281337046,BIAS_20
2018-02,601009,-0.0970574276222117,BIAS_20
2018-02,601899,-0.05418138987043586,VOL_SPIKE_6M
2018-02,300015,0.13444182852658426,RET_6M
2018-02,300347,0.3673488429957701,BIAS_20
2018-02,601012,-0.005246039240373479,RET_6M
2018-02,603799,-0.02044502832744899,BIAS_20
2018-02,600028,0.011137162954279134,VOL_SPIKE_6M
2018-02,002001,-0.11476336479334026,RET_6M
2018-03,600588,-0.037182369660204384,BIAS_20
2018-03,300347,0.12139753883947857,UPSHADOW_20
2018-03,300251,-0.09950943864878292,VOL_SPIKE_6M
2018-03,300308,-0.14301015550618856,RET_6M
2018-03,601111,-0.011424219345011477,RET_6M
2018-03,601888,-0.015896847125320135,RET_6M
2018-04,300316,-0.13657770800627944,UPSHADOW_20
2018-04,603986,-0.12832376545854396,RET_6M
2018-04,000938,-0.0655494505494506,BIAS_20
2018-04,300015,0.05958897622880932,RET_6M
2018-04,603501,0.005601493731661744,RET_6M
2018-04,600547,0.016881859264041177,UPSHADOW_20
2018-04,600276,0.18715530367112154,RET_6M
2018-04,600011,0.14026988636363624,VOL_SPIKE_6M
2018-05,002422,-0.016858874120406542,BIAS_20
2018-05,300476,0.026793431287813307,BIAS_20
2018-05,600845,0.06248835909852857,RET_6M
2018-05,300316,-0.15727272727272723,RET_6M
2018-05,000768,-0.00811959326149636,VOL_SPIKE_6M
2018-05,300124,0.013582277256457331,UPSHADOW_20
2018-05,000975,-0.1008806008806008,VOL_SPIKE_6M
2018-05,600426,-0.11298716317798074,RET_6M
2018-05,603986,0.000655307994757548,RET_6M
2018-06,603369,-0.09147053914204639,RET_6M
2018-06,600600,0.012101210121012063,RET_6M
2018-06,603288,-0.03885063931431787,RET_6M
2018-06,300347,-0.029901835421871636,RET_6M
2018-06,600276,-0.09094358941312519,RET_6M
2018-06,300015,0.035003745181504176,RET_6M
2018-06,600011,0.18864027538726336,BIAS_20
2018-06,603260,-0.04702900591382697,RET_6M
2018-06,600809,-0.03052607367002913,BIAS_20
2018-07,600845,-0.0713152327221439,BIAS_20
2018-07,300015,-0.061338322771962606,RET_6M
2018-07,002422,-0.04352275787772697,UPSHADOW_20
2018-07,300122,0.1022669383596535,VOL_SPIKE_6M
2018-07,600276,-0.03949606969014352,VOL_SPIKE_6M
2018-07,000596,-0.16225896197755096,RET_6M
2018-07,603369,-0.14899871394451591,VOL_SPIKE_6M
2018-07,603288,-0.03219793874716759,VOL_SPIKE_6M
2018-07,603019,0.04929437487577015,BIAS_20
2018-08,600027,0.12558869701726838,VOL_SPIKE_6M
2018-08,300015,0.028037910414081102,RET_6M
2018-08,601888,0.07355093676814994,RET_6M
2018-08,600845,0.007403891789273809,VOL_SPIKE_6M
2018-08,600019,-0.003908431044109428,BIAS_20
2018-08,603288,0.15618745515652743,VOL_SPIKE_6M
2018-08,600176,0.01049395093910821,VOL_SPIKE_6M
2018-09,000977,-0.24755053100376845,RET_6M
2018-09,000596,-0.33678831066004467,VOL_SPIKE_6M
2018-09,300015,-0.1615357881066053,RET_6M
2018-09,600660,-0.1342260994314286,BIAS_20
2018-09,601808,-0.14417887432536625,UPSHADOW_20
2018-09,002475,0.07652894719665815,BIAS_20
2018-09,600585,-0.11036147561277554,RET_6M
2018-10,603369,0.06325143753267115,RET_6M
2018-10,601288,-0.0778546712802769,UPSHADOW_20
2018-10,600028,-0.0652412280701753,RET_6M
2018-10,601398,-0.05306971904266389,UPSHADOW_20
2018-10,300014,0.20228096543188046,UPSHADOW_20
2018-10,000301,-0.014358108108108114,UPSHADOW_20
2018-10,300347,0.1407923676768832,UPSHADOW_20
2018-11,601872,-0.09146341463414642,VOL_SPIKE_6M
2018-11,300033,-0.10519423832387609,BIAS_20
2018-11,601229,-0.02456778889899902,RET_6M
2018-11,600377,0.026025236593059997,RET_6M
2018-11,601288,0.007504690431519689,RET_6M
2018-11,000002,-0.0636790917109149,BIAS_20
2018-11,600028,-0.1436950146627567,RET_6M
2018-11,002179,-0.14015200309158826,UPSHADOW_20
2018-12,600150,-0.05640668523676884,BIAS_20
2018-12,600061,-0.010023692363768877,VOL_SPIKE_6M
2018-12,601166,0.0977747808496292,RET_6M
