month,stock_code,top_risk_score,rank_in_topn
2024-02,600482,0.5827719274741942,5
2024-02,600219,0.3887807126036011,6
2024-02,688472,0.38842403718641705,7
2024-02,600027,0.3701482239744118,8
2024-02,600803,0.33672085300211274,9
2024-02,601808,0.3114817940001092,10
2024-03,301236,1.5462819068309137,1
2024-03,600066,1.3588804396243739,2
2024-03,601298,1.1323899443181369,3
2024-03,601127,1.0520924822328943,4
2024-03,688506,0.9616779283809336,5
2024-03,300476,0.917628660090796,6
2024-03,002625,0.8430601166204325,7
2024-03,601825,0.6354863260258578,8
2024-03,688047,0.577392418106057,9
2024-03,600015,0.5356907679635297,10
2024-04,688187,1.6340037518631787,1
2024-04,603296,1.4407351239752342,2
2024-04,600066,1.1423861653927532,3
2024-04,300251,1.0984781841656883,4
2024-04,601878,1.052098230981258,5
2024-04,300347,0.9212579703160506,6
2024-04,688009,0.8690652475948865,7
2024-04,601898,0.4919969565150652,8
2024-04,600219,0.4663798657381613,9
2024-04,002709,0.21997970787316098,10
2024-05,601878,0.9712658252802566,1
2024-05,300628,0.8375000994890024,2
2024-05,601136,0.7360749566194161,3
2024-05,688506,0.73422458547463,4
2024-05,000425,0.6748579646518542,5
2024-05,601808,0.6518204407472994,6
2024-05,688256,0.6135186002744364,7
2024-05,601898,0.5019996999189884,8
2024-05,600918,0.37899474355443674,9
2024-05,688187,0.37154859503545734,10
2024-06,601077,1.3136622854172213,1
2024-06,601898,1.2153176281829108,2
2024-06,601808,0.9493951559920876,3
2024-06,688047,0.6198059819792865,4
2024-06,603296,0.6142804158076445,5
2024-06,000768,0.5369501288606747,6
2024-06,605117,0.48937877707415806,7
2024-06,688303,0.4835490494125254,8
2024-06,688187,0.4466477829196521,9
2024-06,688256,0.3981097114932891,10
2024-07,603893,1.0141952231180194,1
2024-07,688256,0.9623590188178643,2
2024-07,688009,0.8441891339699386,3
2024-07,600023,0.7438494208122497,4
2024-07,600803,0.7431453571954513,5
2024-07,601825,0.6319921362123301,6
2024-07,601808,0.4891155233909088,7
2024-07,601136,0.38579318703474397,8
2024-07,688082,0.3089138583294237,9
2024-07,600039,0.25927392420162965,10
2024-08,688256,2.056591453265926,1
2024-08,000768,1.1519806221973126,2
2024-08,688047,0.9922781294699566,3
2024-08,600482,0.9309344279392548,4
2024-08,300347,0.8591826986407265,5
2024-08,300759,0.6533226783861165,6
2024-08,688126,0.5707248264973754,7
2024-08,601236,0.3966184494790886,8
2024-08,002625,0.386716445250636,9
2024-08,301269,0.33083159619980396,10
2024-09,002938,1.9660895424182545,1
2024-09,688256,1.7044876689312485,2
2024-09,300866,1.3156490606262923,3
2024-09,300628,0.6661665053732894,4
2024-09,688472,0.640838595331905,5
2024-09,000768,0.6387078586364675,6
2024-09,600219,0.5755036412996695,7
2024-09,601211,0.5618520033368248,8
2024-09,002625,0.47172752918658284,9
2024-09,600066,0.35403858986419834,10
2024-10,600061,1.177545248354314,1
2024-10,601236,1.0411222103165831,2
2024-10,600999,1.0280401178648633,3
2024-10,000617,1.0069331823181031,4
2024-10,601066,0.926246099508056,5
2024-10,688472,0.6077593211066357,6
2024-10,600690,0.530373463907847,7
2024-10,601995,0.4358889916648211,8
2024-10,002384,0.369647937145246,9
2024-10,002625,0.3529544140759255,10
2024-11,688256,1.8505415511014442,1
2024-11,688047,1.5869241176935833,2
2024-11,688396,1.0173133348662153,3
2024-11,600061,0.9779854204905595,4
2024-11,301269,0.9301489989965642,5
2024-11,601066,0.876787918659281,6
2024-11,688472,0.8229535999772534,7
2024-11,688223,0.6941935834731924,8
2024-11,001979,0.6922868665291193,9
2024-11,601236,0.68977388152839,10
2024-12,688047,1.6376583165853833,1
2024-12,002709,1.5766620886837885,2
2024-12,301269,1.3778879475065606,3
2024-12,600588,1.274350162577934,4
2024-12,000301,1.0683385063312119,5
2024-12,600515,0.8593558967304296,6
2024-12,600015,0.5870816492248109,7
2024-12,601238,0.4637817974967821,8
2024-12,601077,0.38947261657457244,9
2024-12,688396,0.381356208649402,10
2025-01,601825,0.7615585614789332,1
2025-01,601728,0.7532585891507051,2
2025-01,601939,0.7075120401550313,3
